# z LM (E,E) abs(P1) alpha
305.000000 11.808610 1.004543 0.256785 -0.019685
306.000000 11.813138 1.004546 0.256651 -0.019699
307.000000 11.817547 1.004549 0.256521 -0.019712
308.000000 11.821838 1.004552 0.256394 -0.019724
309.000000 11.826011 1.004555 0.256271 -0.019735
310.000000 11.830066 1.004557 0.256151 -0.019745
311.000000 11.834004 1.004559 0.256035 -0.019754
312.000000 11.837824 1.004561 0.255923 -0.019762
313.000000 11.841528 1.004563 0.255814 -0.019770
314.000000 11.845116 1.004564 0.255708 -0.019776
315.000000 11.848587 1.004565 0.255606 -0.019781
316.000000 11.851943 1.004566 0.255507 -0.019786
317.000000 11.855184 1.004567 0.255412 -0.019789
318.000000 11.858309 1.004568 0.255320 -0.019792
319.000000 11.861319 1.004568 0.255231 -0.019794
320.000000 11.864215 1.004568 0.255146 -0.019794
321.000000 11.866997 1.004568 0.255065 -0.019794
322.000000 11.869664 1.004568 0.254986 -0.019793
323.000000 11.872218 1.004568 0.254911 -0.019791
324.000000 11.874659 1.004567 0.254840 -0.019788
325.000000 11.876986 1.004566 0.254771 -0.019784
326.000000 11.879200 1.004565 0.254706 -0.019779
327.000000 11.881302 1.004563 0.254645 -0.019773
328.000000 11.883291 1.004562 0.254587 -0.019766
329.000000 11.885168 1.004560 0.254532 -0.019759
330.000000 11.886933 1.004558 0.254480 -0.019750
331.000000 11.888586 1.004556 0.254431 -0.019740
332.000000 11.890128 1.004553 0.254386 -0.019730
333.000000 11.891558 1.004551 0.254344 -0.019718
334.000000 11.892877 1.004548 0.254306 -0.019706
335.000000 11.894085 1.004545 0.254270 -0.019692
336.000000 11.895183 1.004541 0.254238 -0.019678
337.000000 11.896170 1.004538 0.254209 -0.019663
338.000000 11.897046 1.004534 0.254184 -0.019647
339.000000 11.897812 1.004530 0.254161 -0.019629
340.000000 11.898469 1.004526 0.254142 -0.019611
341.000000 11.899015 1.004522 0.254126 -0.019592
342.000000 11.899452 1.004517 0.254113 -0.019573
343.000000 11.899779 1.004512 0.254104 -0.019552
344.000000 11.899997 1.004507 0.254097 -0.019530
345.000000 11.900105 1.004502 0.254094 -0.019507
346.000000 11.900105 1.004497 0.254094 -0.019484
347.000000 11.899995 1.004491 0.254097 -0.019459
348.000000 11.899777 1.004485 0.254104 -0.019434
349.000000 11.899450 1.004479 0.254113 -0.019408
350.000000 11.899015 1.004473 0.254126 -0.019381
351.000000 11.898471 1.004466 0.254142 -0.019352
352.000000 11.897818 1.004459 0.254161 -0.019323
353.000000 11.897058 1.004453 0.254183 -0.019294
354.000000 11.896189 1.004445 0.254209 -0.019263
355.000000 11.895212 1.004438 0.254237 -0.019231
356.000000 11.894127 1.004431 0.254269 -0.019199
