# z LM (E,E) abs(P1) alpha
19.066667 30.372708 1.001049 0.030295 -0.004553
19.133333 30.017121 1.001045 0.031561 -0.004533
19.200000 29.694585 1.001040 0.032754 -0.004514
19.266667 29.402598 1.001036 0.033874 -0.004496
19.333333 29.139033 1.001033 0.034918 -0.004480
19.400000 28.902066 1.001029 0.035884 -0.004466
19.466667 28.690128 1.001026 0.036770 -0.004453
19.533333 28.501862 1.001023 0.037576 -0.004441
19.600000 28.336086 1.001021 0.038300 -0.004430
19.666667 28.191770 1.001019 0.038941 -0.004421
19.733333 28.068008 1.001017 0.039500 -0.004413
19.800000 27.964001 1.001016 0.039976 -0.004407
19.866667 27.879039 1.001014 0.040369 -0.004402
19.933333 27.812486 1.001013 0.040680 -0.004398
20.000000 27.763765 1.001013 0.040908 -0.004395
20.066667 27.732348 1.001012 0.041057 -0.004393
20.133333 27.717739 1.001012 0.041126 -0.004393
20.200000 27.719464 1.001013 0.041118 -0.004394
20.266667 27.737055 1.001013 0.041034 -0.004396
20.333333 27.770039 1.001014 0.040879 -0.004400
20.400000 27.817919 1.001015 0.040654 -0.004404
20.466667 27.880156 1.001016 0.040364 -0.004410
20.533333 27.956148 1.001018 0.040012 -0.004417
20.600000 28.045207 1.001020 0.039604 -0.004424
20.666667 28.146532 1.001022 0.039145 -0.004433
20.733333 28.259173 1.001024 0.038640 -0.004443
20.800000 28.381999 1.001027 0.038098 -0.004454
20.866667 28.513656 1.001029 0.037525 -0.004466
20.933333 28.652522 1.001032 0.036930 -0.004479
21.000000 28.796661 1.001035 0.036322 -0.004493
21.066667 28.943779 1.001039 0.035712 -0.004508
21.133333 29.091181 1.001043 0.035111 -0.004524
21.200000 29.235748 1.001046 0.034531 -0.004541
21.266667 29.373924 1.001050 0.033986 -0.004558
21.333333 29.501747 1.001055 0.033490 -0.004577
21.400000 29.614916 1.001059 0.033056 -0.004596
21.466667 29.708913 1.001064 0.032700 -0.004616
21.533333 29.779191 1.001069 0.032437 -0.004637
21.600000 29.821406 1.001074 0.032280 -0.004659
21.666667 29.831704 1.001079 0.032241 -0.004681
21.733333 29.807000 1.001084 0.032333 -0.004704
21.800000 29.745239 1.001090 0.032564 -0.004728
21.866667 29.645572 1.001095 0.032940 -0.004753
21.933333 29.508429 1.001101 0.033464 -0.004778
22.000000 29.335465 1.001107 0.034137 -0.004803
22.066667 29.129401 1.001113 0.034957 -0.004830
22.133333 28.893771 1.001119 0.035918 -0.004857
22.200000 28.632641 1.001126 0.037014 -0.004884
22.266667 28.350328 1.001132 0.038237 -0.004912
22.333333 28.051144 1.001139 0.039577 -0.004940
22.400000 27.739209 1.001145 0.041024 -0.004969
22.466667 27.418313 1.001152 0.042568 -0.004999
22.533333 27.091840 1.001159 0.044199 -0.005029
22.600000 26.762730 1.001166 0.045905 -0.005059
22.666667 26.433485 1.001173 0.047679 -0.005089
22.733333 26.106190 1.001180 0.049510 -0.005120
22.800000 25.782551 1.001187 0.051389 -0.005151
22.866667 25.463938 1.001194 0.053309 -0.005183
22.933333 25.151430 1.001202 0.055262 -0.005215
23.000000 24.845856 1.001209 0.057241 -0.005247
23.066667 24.547839 1.001217 0.059239 -0.005279
23.133333 24.257826 1.001224 0.061250 -0.005311
23.200000 23.976120 1.001232 0.063269 -0.005344
23.266667 23.702906 1.001239 0.065291 -0.005377
23.333333 23.438275 1.001247 0.067311 -0.005410
23.400000 23.182235 1.001254 0.069325 -0.005443
23.466667 22.934733 1.001262 0.071329 -0.005476
23.533333 22.695666 1.001270 0.073319 -0.005509
23.600000 22.464885 1.001277 0.075293 -0.005542
23.666667 22.242212 1.001285 0.077248 -0.005575
23.733333 22.027439 1.001293 0.079182 -0.005609
23.800000 21.820336 1.001300 0.081093 -0.005642
23.866667 21.620655 1.001308 0.082979 -0.005675
23.933333 21.428135 1.001315 0.084839 -0.005708
24.000000 21.242501 1.001323 0.086671 -0.005741
24.066667 21.063467 1.001331 0.088476 -0.005774
24.133333 20.890741 1.001338 0.090253 -0.005806
24.200000 20.724022 1.001346 0.092002 -0.005839
